ID,Name,Age,Course,City,Region,RandomValue,AgeExact
10063,Len Reilly,25.66,ITM,Salzburg,VBG,0.656359972,25
10064,Erasmus Schwartz,20.79,IMS,Judenburg,NOE,0.791281474,20
10065,Heidi Everett,21.63,ITM,Vienna,NOE,0.63464931,21
10066,Ray Gallegos,20.53,IMS,Hallein,BGLD,0.53249771,20
10067,Roary Lott,23.65,SWD,Vienna,SBG,0.649187313,23
10068,Wyatt Dunn,19.63,ITM,Vienna,T,0.630370962,19
10069,Penelope Gallagher,24.03,IMS,Poettsching,NOE,0.033494308,24
10070,Clarke Carney,25.54,ITM,Oberpullendorf,W,0.540836196,25
10071,Jackson Gamble,21.87,ITM,Poettsching,SBG,0.871570902,21
10072,Inez Chambers,22.63,SWD,Lienz,VBG,0.627005293,22
10073,Rowan Berger,19.69,ITM,Pinkafeld,OOE,0.689959922,19
10074,Ishmael Ballard,20.03,SWD,Bad Voeslau,T,0.027783652,20
10075,Mollie Bradshaw,19.4,SWD,Bregenz,VBG,0.400489798,19
10076,Brendan Pruitt,20.35,IMS,Bischofshofen,OOE,0.352518259,20
10077,Jena Wagner,22.51,ITM,Krems an der Donau,STMK,0.508327033,22
10078,Shafira Maddox,21.17,IMS,Hallein,OOE,0.165582461,21
10079,Patrick Walter,24.54,SWD,Ferlach,KTN,0.540573867,24
10080,Gage Tyson,19.93,ITM,Baden,OOE,0.933061992,19
10081,Ralph Whitley,19.28,ITM,Kufstein,W,0.28093466,19
10082,Quynn Hyde,23.7,SWD,Amstetten,STMK,0.704820046,23
10083,Doris Frazier,22.78,ITM,Bruck an der Mur,VBG,0.777639862,22
10084,Sydnee Goodwin,22.15,IMS,Neunkirchen,NOE,0.150778098,22
10085,Jolene Keller,19.65,ITM,Goetzis,NOE,0.645222501,19
10086,Brynne Church,22.38,IMS,Velden am Woerther See,BGLD,0.375244166,22
10087,Jane Riley,23.04,SWD,Lienz,SBG,0.039851172,23
10088,Allistair Petersen,19.18,ITM,Vienna,T,0.182427969,19
10089,Murphy Mcguire,20.15,SWD,Salzburg,NOE,0.148342622,20
10090,Dante Wilson,24.9,ITM,Innsbruck,W,0.89849615,24
10091,Zane Delgado,25.79,IMS,Gols,SBG,0.788365168,25
10092,Brenna Lowe,25.44,IMS,Ferlach,VBG,0.440782662,25
10093,Lareina Lowery,24.57,IMS,Graz,OOE,0.569726785,24
10094,Carissa Smith,19.86,ITM,Spittal an der Drau,T,0.86195001,19
10095,Brynne Powers,23.12,IMS,Oberwart,VBG,0.121970849,23
10096,Sophia Meadows,21.31,IMS,Lauterach,OOE,0.312290648,21
10097,Molly Le,24.64,ITM,Hallein,STMK,0.635852632,24
10098,Rashad Foreman,23.02,SWD,Bad Ischl,OOE,0.017860056,23
10099,Stephanie French,20.03,SWD,Leoben,KTN,0.027216548,20
10100,Cleo Tran,23.11,IMS,Bregenz,OOE,0.110798819,23
10101,Austin Stein,24.35,SWD,Neudoerfl,W,0.345210715,24
10102,Brittany Spence,21.58,SWD,Hallein,STMK,0.581902896,21
10103,Clementine Macdonald,19.65,IMS,Vienna,VBG,0.645669719,19
10104,Cameron Witt,22.8,IMS,Saalfelden am Steinernen Meer,NOE,0.80299059,22
10105,Bruno Fox,24.13,SWD,Laakirchen,NOE,0.131663846,24
10106,Eleanor Hickman,24.61,IMS,Salzburg,BGLD,0.613523866,24
10107,Delilah Robertson,25.08,IMS,Amstetten,SBG,0.076435374,25
10108,Axel Tucker,24.07,ITM,Marchtrenk,T,0.068911068,24
10109,Damian Curtis,20.83,SWD,Wals-Siezenheim,NOE,0.828685373,20
10110,Elton Estrada,25.29,IMS,Wals-Siezenheim,W,0.285999276,25
10111,Adrienne Mack,22.72,ITM,Brunn am Gebirge,SBG,0.720696337,22
10112,Stacy Jensen,23.05,IMS,Marchtrenk,VBG,0.050497714,23
10113,Uriah Sykes,21.04,ITM,Hohenems,OOE,0.03889484,21
10114,Aspen Greene,21.12,ITM,Koeflach,T,0.120523513,21
10115,Cruz Dunn,21.26,SWD,Bischofshofen,VBG,0.261921337,21
10116,Cooper Dyer,19.96,SWD,Bruck an der Mur,OOE,0.958003262,19
10117,Hayden Morales,22.63,IMS,Weiz,STMK,0.629794591,22
10118,Audrey Velazquez,22.53,ITM,Koeflach,OOE,0.534960849,22
10119,Candace Massey,24.58,ITM,Vienna,KTN,0.580073765,24
10120,Shana Sosa,22.05,ITM,Marchtrenk,OOE,0.045883461,22
10121,Solomon Sargent,20.03,SWD,Bad Ischl,W,0.027806216,20
10122,Omar Richard,19.3,SWD,Lienz,STMK,0.303837768,19
10123,Brian Mcdowell,21.78,IMS,Ried im Innkreis,VBG,0.779160212,21
10124,Carl Hoffman,21.74,IMS,Feldkirchen in Kaernten,NOE,0.741024633,21
10125,Kylan Hall,19.51,ITM,Klosterneuburg,NOE,0.514579513,19
10126,MacKenzie Pace,22.3,ITM,Altach,BGLD,0.302517283,22
10127,Raja Brennan,19.17,SWD,Hohenems,SBG,0.165388337,19
10128,Uta Harmon,22.95,IMS,Rum,T,0.952036418,22
10129,Scarlett Harrell,23,ITM,Rechnitz,NOE,0.999898062,22
10130,Tanya Guerra,22.22,SWD,Bischofshofen,W,0.218985012,22
10131,Petra Merritt,22.27,SWD,Ternitz,SBG,0.274865944,22
10132,Courtney Casey,20.57,IMS,Finkenstein am Faaker See,VBG,0.56890231,20
10133,Desiree Berry,24.34,IMS,Villach,OOE,0.33919537,24
10134,Renee Hernandez,21.25,ITM,Salzburg,T,0.247012948,21
10135,Leslie Carr,24.73,ITM,Deutschkreutz,VBG,0.729054873,24
10136,Justine Ellis,19.62,SWD,Vienna,OOE,0.624380011,19
10137,Alexandra Knowles,19.7,SWD,Spittal an der Drau,STMK,0.70199244,19
10138,Cedric Knowles,25.36,SWD,Kapfenberg,OOE,0.357556673,25
10139,Judah Griffith,25.62,ITM,Rum,KTN,0.62239004,25
10140,Kylan Sims,21.37,IMS,Weiz,OOE,0.373056478,21
10141,Geraldine Cleveland,21.88,ITM,Saalfelden am Steinernen Meer,W,0.876278482,21
10142,Stacy Willis,19.08,ITM,St. Veit an der Glan,STMK,0.078692818,19
10143,Allen Alford,24.35,IMS,Vienna,VBG,0.35076815,24
10144,Kylee Clark,24.62,ITM,Korneuburg,NOE,0.620489826,24
10145,Eliana Chan,24.66,IMS,Voelkermarkt,NOE,0.663039649,24
10146,Kermit Cannon,25.83,IMS,Gmunden,BGLD,0.833651102,25
10147,Noelani Waller,25.21,IMS,Vienna,SBG,0.207637019,25
10148,Kamal Warren,19.08,SWD,Ebenthal in Kaernten,T,0.082005491,19
10149,Brett Medina,20.96,IMS,Hall in Tirol,NOE,0.96291406,20
10150,Megan Pruitt,25.38,SWD,St. Johann in Tirol,W,0.379025985,25
10151,Cailin Mckee,19.71,ITM,Moedling,SBG,0.714537931,19
10152,Madeline Farmer,19.13,IMS,Vienna,VBG,0.127629316,19
10153,Quail Ferrell,19.85,IMS,Wolfurt,OOE,0.847105122,19
10154,Amos Sherman,19.93,ITM,Judenburg,T,0.931504216,19
10155,Jermaine Jefferson,25.05,ITM,Spittal an der Drau,VBG,0.049946968,25
10156,Macey Marshall,21.26,SWD,Gols,OOE,0.260684216,21
10157,Sheila Delacruz,19.98,ITM,Woergl,STMK,0.975030509,19
10158,Aileen Barker,21.29,ITM,Sankt Johann im Pongau,OOE,0.290749796,21
10159,Quamar Pickett,20.56,IMS,Krems an der Donau,KTN,0.561257014,20
10160,Kadeem Norton,24.93,IMS,Traiskirchen,OOE,0.933176312,24
10161,Melinda Vaughn,23.97,IMS,Wiener Neustadt,W,0.972082118,23
10162,Lydia Donaldson,24.37,IMS,Hoechst,STMK,0.372299376,24
10163,Mark Duke,23.64,IMS,Hallein,VBG,0.6430859,23
10164,Christine Moon,19.43,IMS,Ferlach,NOE,0.428084491,19
10165,Kylan Macias,22.94,ITM,Kapfenberg,NOE,0.941409781,22
10166,Renee Klein,22.4,SWD,Ferlach,BGLD,0.39986702,22
10167,Kerry Cotton,20.52,IMS,Bad Ischl,SBG,0.523181971,20
10168,Ian Roberson,24.31,SWD,Imst,T,0.314854476,24
10169,Violet Hendrix,24.94,IMS,Vienna,NOE,0.943176265,24
10170,Iris Sweeney,21.44,SWD,Neudoerfl,W,0.440460602,21
10171,Bernard Wade,23.42,SWD,Rechnitz,SBG,0.422745033,23
10172,Briar Cooley,19.61,IMS,Linz,VBG,0.612224271,19
10173,Alexa Porter,24.23,SWD,Kitzbuehel,OOE,0.229317599,24
10174,Uriel Richard,25.38,IMS,Wals-Siezenheim,T,0.382145124,25
10175,Ursula Chavez,20.72,IMS,Ebenthal in Kaernten,VBG,0.722654709,20
10176,Arden Sellers,25.92,IMS,Bludenz,OOE,0.918435404,25
10177,Carlos Conley,25.14,IMS,Kitzbuehel,STMK,0.143819406,25
10178,India Burke,23.32,ITM,Wolfurt,OOE,0.323739572,23
10179,Ella Hammond,23.08,SWD,Gmunden,KTN,0.083455423,23
10180,Brynn Horne,24.32,SWD,St. Johann in Tirol,OOE,0.318556982,24
10181,Francis Fry,25.76,IMS,Baden,W,0.761873849,25
10182,Risa Stone,21.82,SWD,Hallein,STMK,0.819927848,21
10183,Rebekah Keith,24.38,ITM,Salzburg,VBG,0.38094537,24
10184,Alden Woodard,25.45,SWD,St. Andrae,NOE,0.452159423,25
10185,Pandora Ayers,23.11,IMS,Vienna,NOE,0.11230801,23
10186,Nasim Brennan,25.38,ITM,Zirl,BGLD,0.380713913,25
10187,Lana Jordan,23.36,ITM,Lauterach,SBG,0.356542497,23
10188,Phillip Flowers,22.35,SWD,Moedling,T,0.353236471,22
10189,Sophia Blair,25.2,SWD,Sankt Johann im Pongau,NOE,0.204541765,25
10190,Hakeem Workman,22.53,ITM,Wals-Siezenheim,W,0.528394546,22
10191,Scarlet King,19.91,ITM,Lustenau,SBG,0.910776142,19
10192,Leigh Valdez,25.49,ITM,Weiz,VBG,0.491547925,25
10193,Melvin Winters,23.81,SWD,Grosspetersdorf,OOE,0.813729832,23
10194,Bruce Malone,25.79,IMS,Hollabrunn,T,0.790988409,25
10195,Hilel Kent,19.38,IMS,Bad Voeslau,VBG,0.379185647,19
10196,Irma Beach,25.24,ITM,Hall in Tirol,OOE,0.236748241,25
10197,Charlotte Shields,22.94,SWD,Oberpullendorf,STMK,0.937307768,22
10198,Uriel Gregory,21.61,SWD,Laakirchen,OOE,0.606744265,21
10199,Mikayla Dodson,25.23,ITM,Schwechat,KTN,0.225283569,25
10200,Quinlan Camacho,21.98,ITM,Koeflach,OOE,0.978886256,21
10201,Alisa Cruz,25.95,SWD,Wolfurt,W,0.946277726,25
10202,Darius Patterson,21,ITM,St. Veit an der Glan,STMK,0.003942557,21
10203,Ann Wolfe,23.98,ITM,Feldkirch,VBG,0.9752126,23
10204,Charlotte Clay,24.49,SWD,Tulln an der Donau,NOE,0.489697871,24
10205,Kasper Tate,20.67,ITM,Innsbruck,NOE,0.674258493,20
10206,Ocean Quinn,22.97,ITM,Hallein,BGLD,0.969173268,22
10207,Gillian Mathis,23.55,IMS,Leonding,SBG,0.548151037,23
10208,Aquila Terrell,19.53,ITM,Rum,T,0.531723785,19
10209,Susan Ortiz,19.76,IMS,Neusiedl am See,NOE,0.755481144,19
10210,Stewart Dale,20.57,IMS,Vienna,W,0.574516086,20
10211,Patrick Mcgee,21.91,ITM,Vienna,SBG,0.906824338,21
10212,Simone Sweeney,25.56,ITM,Altach,VBG,0.556931479,25
10213,Yoko Gilmore,23.31,ITM,Spittal an der Drau,OOE,0.314357631,23
10214,Katell Mendez,21.8,SWD,Perchtoldsdorf,T,0.804129949,21
10215,Jayme Faulkner,23.92,IMS,Neufeld an der Leitha,VBG,0.921323832,23
10216,Hilel Baker,22.24,ITM,Salzburg,OOE,0.239521115,22
10217,Lucian Hughes,19.55,SWD,Schwechat,STMK,0.552797309,19
10218,Fay Padilla,21.05,IMS,Altmuenster,OOE,0.050084931,21
10219,Illiana Walton,25.19,ITM,Ternitz,KTN,0.187562025,25
10220,Chase Lowery,21.3,SWD,Villach,OOE,0.299487067,21
10221,Carl Stephenson,21.22,IMS,St. Johann in Tirol,W,0.217233865,21
10222,Lawrence Collier,24.9,SWD,Innsbruck,STMK,0.897167672,24
10223,Zena Buckley,21.23,IMS,Poettsching,VBG,0.234992024,21
10224,Barry Pennington,19.04,SWD,Vienna,NOE,0.036726647,19
10225,Kane Frazier,21.34,IMS,Villach,NOE,0.340342449,21
10226,Justin Flores,20.1,IMS,Velden am Woerther See,BGLD,0.104528847,20
10227,Regan Ford,20.34,ITM,Stockerau,SBG,0.344231071,20
10228,Beverly Glass,20.51,IMS,Amstetten,T,0.506487777,20
10229,Drew Pruitt,22.07,IMS,Dornbirn,NOE,0.066293446,22
10230,Unity Cannon,20.7,ITM,Vienna,W,0.697772695,20
10231,Ulric Hamilton,24.69,IMS,Lauterach,SBG,0.692722888,24
10232,Reed Mcintosh,23.37,IMS,Rechnitz,VBG,0.366212642,23
10233,Buffy Hendrix,21.12,ITM,St. Andrae,OOE,0.122785951,21
10234,Rowan Riddle,23.18,SWD,Feldkirchen in Kaernten,T,0.179341194,23
10235,Carson Gibbs,19.61,SWD,Vienna,VBG,0.614630543,19
10236,Wang Harrell,24.22,IMS,Weiz,OOE,0.224952368,24
10237,Merrill Mack,19.35,SWD,Hohenems,STMK,0.354998351,19
10238,Ashton Dejesus,19.78,SWD,Graz,OOE,0.777104412,19
10239,Ulla Hewitt,20.69,ITM,Vienna,KTN,0.692611451,20
10240,Baxter Mercado,20.36,IMS,Vienna,OOE,0.355172895,20
10241,Cheyenne Kinney,24.01,SWD,Vienna,W,0.007785891,24
10242,Vernon Ingram,20.27,IMS,Ferlach,STMK,0.272862347,20
10243,Mikayla Fowler,21.5,SWD,Goetzis,VBG,0.503885309,21
10244,Shay Wright,24.75,SWD,Goetzis,NOE,0.745494805,24
10245,Diana Branch,24.19,SWD,Bruck an der Mur,NOE,0.191240683,24
10246,Raymond Hardy,22.72,IMS,Villach,BGLD,0.720009836,22
10247,Linus Jensen,25.8,ITM,Bischofshofen,SBG,0.801220325,25
10248,Elijah Mcclure,20.59,SWD,Leoben,T,0.588744523,20
10249,Cedric Wallace,23.78,SWD,Klosterneuburg,NOE,0.776311084,23
10250,Vaughan Gill,19.16,IMS,St. Andrae,W,0.164724588,19
10251,Ainsley Dennis,25.55,SWD,Poettsching,SBG,0.550973416,25
10252,Jacob Jordan,24.41,SWD,Hollabrunn,VBG,0.410957385,24
10253,Nichole Noel,21.98,SWD,St. Andrae,OOE,0.983968989,21
10254,Axel Sanchez,23.21,IMS,Knittelfeld,T,0.205650371,23
10255,Martha Vasquez,23.99,SWD,Feldkirch,VBG,0.989840596,23
10256,Nicholas Cummings,25.32,IMS,Koeflach,OOE,0.323663099,25
10257,Reed Frost,21.2,IMS,St. Poelten,STMK,0.19673758,21
10258,Adrian Bolton,25.08,IMS,Velden am Woerther See,OOE,0.080410398,25
10259,Olivia Ashley,19.96,ITM,Mattersburg,KTN,0.959776355,19
10260,Mira Rosales,23.49,ITM,Sankt Johann im Pongau,OOE,0.490854068,23
10261,Brock Valencia,19.28,ITM,Kitzbuehel,W,0.281233467,19
10262,Shea Santiago,19.36,SWD,Voitsberg,STMK,0.364188376,19
10263,Colt Gross,19.2,IMS,St. Veit an der Glan,VBG,0.196989877,19
10264,Duncan Hopkins,19.92,SWD,Hallein,NOE,0.924538765,19
10265,Hall Bentley,21.46,IMS,Pinkafeld,NOE,0.459666386,21
10266,August Stark,19.03,ITM,Knittelfeld,BGLD,0.031684855,19
10267,Jenette Hopkins,19.59,SWD,Neudoerfl,SBG,0.591060122,19
10268,Yasir Christian,24.28,ITM,Perchtoldsdorf,T,0.283675024,24
10269,Kirestin Estrada,21.78,ITM,Neunkirchen,NOE,0.782056326,21
10270,Giselle Hopkins,25.08,SWD,Goetzis,W,0.084239105,25
10271,Jordan Cannon,22.67,ITM,Brunn am Gebirge,SBG,0.668891249,22
10272,Conan Fuentes,23.41,IMS,Koeflach,VBG,0.407557238,23
10273,Kelly Bright,20.4,ITM,Knittelfeld,OOE,0.401915321,20
10274,Garrett Melendez,23.1,ITM,Stockerau,T,0.095125009,23
10275,Ira Dillard,24.74,IMS,Wolfsberg,VBG,0.741432238,24
10276,Ignatius Joyce,25.99,IMS,Oberpullendorf,OOE,0.990713634,25
10277,Kieran Rosales,24.52,SWD,Imst,STMK,0.523478297,24
10278,Sawyer Hicks,23.94,ITM,Jennersdorf,OOE,0.942531164,23
10279,Laurel Knox,21.02,SWD,Perchtoldsdorf,KTN,0.017632785,21
10280,Adrian Conrad,20.75,IMS,Voelkermarkt,OOE,0.745430973,20
10281,Kirby Cash,21.12,ITM,Wels,W,0.116471619,21
10282,Courtney Mcdowell,20.55,ITM,Sankt Johann im Pongau,STMK,0.54691388,20
10283,Rosalyn Carr,21.14,ITM,Voelkermarkt,VBG,0.139225139,21
10284,Wallace Allison,25.63,ITM,Innsbruck,NOE,0.629749605,25
10285,Tate Carney,24.19,SWD,Voelkermarkt,NOE,0.19331854,24
10286,Elmo Sullivan,24.12,ITM,Spittal an der Drau,BGLD,0.120907192,24
10287,Timon Tanner,22.62,SWD,Sankt Johann im Pongau,SBG,0.623517934,22
10288,Abdul Bradley,24.63,IMS,Finkenstein am Faaker See,T,0.630571939,24
10289,Ursa Maxwell,19.46,ITM,Wolfurt,NOE,0.457883087,19
10290,Keegan Meadows,23.9,ITM,Vienna,W,0.901860522,23
10291,Xandra Black,24.03,ITM,Salzburg,SBG,0.031940508,24
10292,Tara Chen,23.84,ITM,Bad Voeslau,VBG,0.841474162,23
10293,Paki Bray,22.28,ITM,Vienna,OOE,0.283346873,22
10294,Veronica Oneil,25.37,IMS,Wolfurt,T,0.369978909,25
10295,Scarlet Allen,21.06,ITM,St. Veit an der Glan,VBG,0.055549427,21
10296,Gary Flores,23.53,IMS,Kapfenberg,OOE,0.527057084,23
10297,Chaim Frazier,25.37,SWD,Feldkirchen in Kaernten,STMK,0.370337802,25
10298,Ivor Kane,21.04,SWD,Ried im Innkreis,OOE,0.035775114,21
10299,Carly Sims,19.95,ITM,Ried im Innkreis,KTN,0.951122138,19
10300,Alika Cervantes,25.75,IMS,Ferlach,OOE,0.746457767,25
10301,Tad Turner,23.04,SWD,Sankt Johann im Pongau,W,0.041681206,23
10302,Bruno Branch,24.2,SWD,Ried im Innkreis,STMK,0.202986622,24
10303,Skyler Ross,25.58,IMS,Ansfelden,VBG,0.58355109,25
10304,Jack Stevens,19.34,IMS,Stockerau,NOE,0.337115527,19
10305,Quamar Simpson,24.34,SWD,Sierning,NOE,0.342035076,24
10306,Maile Beasley,22.3,IMS,St. Veit an der Glan,BGLD,0.295106739,22
10307,Jamalia George,20.74,IMS,Saalfelden am Steinernen Meer,SBG,0.744372765,20
10308,Willow Mcknight,23.94,SWD,Leoben,T,0.939820822,23
10309,Daniel Dennis,22.28,IMS,Telfs,NOE,0.28259692,22
10310,Seth Green,22.41,SWD,Bregenz,W,0.414747802,22
10311,Anika Hampton,25.8,IMS,Saalfelden am Steinernen Meer,SBG,0.798777551,25
10312,Willow Wilder,24.93,SWD,Ternitz,VBG,0.934204335,24
10313,Heather Pugh,22.66,SWD,Wels,OOE,0.657760664,22
10314,Blaze Shaw,24.14,SWD,Eisenstadt,T,0.141511857,24
10315,Octavia Cain,24.16,IMS,Velden am Woerther See,VBG,0.155420727,24
10316,Rhona Miranda,23.08,SWD,Lienz,OOE,0.081617469,23
10317,Reece Estrada,22.79,ITM,Voelkermarkt,STMK,0.790145724,22
10318,Adria Battle,25.46,IMS,St. Andrae,OOE,0.462751219,25
10319,Bertha Cook,23.66,IMS,Salzburg,KTN,0.655453473,23
10320,Carissa Bryan,25.88,IMS,Vienna,OOE,0.877521221,25
10321,Aaron Travis,19.9,ITM,Velden am Woerther See,W,0.902187404,19
10322,Phelan Delaney,21.04,IMS,Weiz,STMK,0.0418354,21
10323,Rogan Emerson,20.08,IMS,Ternitz,VBG,0.077536273,20
10324,Azalia Shaw,23.19,IMS,Vienna,NOE,0.191615712,23
10325,Nichole Chaney,22.23,ITM,Bruck an der Mur,NOE,0.225920003,22
10326,Risa Sawyer,24.33,SWD,Rankweil,BGLD,0.331335195,24
10327,Tiger Quinn,22.13,IMS,Imst,SBG,0.128677789,22
10328,Kato Hampton,23.87,ITM,Vienna,T,0.86593876,23
10329,Cody Young,21.04,SWD,Koeflach,NOE,0.035563427,21
10330,Ashely York,22.7,ITM,Vienna,W,0.695948624,22
10331,Rebecca Holcomb,25.09,IMS,Vienna,SBG,0.089181535,25
10332,Wyoming Delaney,22.56,IMS,Voelkermarkt,VBG,0.563826438,22
10333,Leo Wiggins,21.51,SWD,Bad Voeslau,OOE,0.508836845,21
10334,Christopher Franco,19.81,IMS,Judenburg,T,0.809144169,19
10335,Keane Dejesus,22.13,ITM,Vienna,VBG,0.1277845,22
10336,Kadeem Marquez,21.82,IMS,Rankweil,OOE,0.820105273,21
10337,Ethan Mccullough,21.92,IMS,Feldkirch,STMK,0.919740952,21
10338,Mollie Guzman,22.4,IMS,Telfs,OOE,0.403667228,22
10339,Hop Young,21.18,IMS,Gmunden,KTN,0.184355168,21
10340,Beverly Spencer,25.66,SWD,Stockerau,OOE,0.658031901,25
10341,Ramona Flowers,19.14,SWD,Bruckneudorf,W,0.138082336,19
10342,Paula Donaldson,19.52,SWD,Wolfurt,STMK,0.520232937,19
10343,Melanie Tillman,25.41,IMS,Bludenz,VBG,0.413783247,25
10344,Rafael Dyer,21.2,IMS,Enns,NOE,0.204802449,21
10345,Kieran Ray,24.99,SWD,Korneuburg,NOE,0.994982021,24
10346,Freya Quinn,20.44,IMS,Hallein,BGLD,0.442812829,20
10347,Baker Parks,23.42,ITM,Feldkirchen in Kaernten,SBG,0.421874016,23
10348,Jaquelyn Mueller,20.61,SWD,Ansfelden,T,0.605406603,20
10349,Aphrodite Maynard,20.28,SWD,Ferlach,NOE,0.282712342,20
10350,Warren Parrish,21.08,ITM,Feldkirch,W,0.075860018,21
10351,Donovan Gross,22.41,ITM,Wolfsberg,SBG,0.405942322,22
10352,Daria Calderon,19.78,SWD,Hallein,VBG,0.776087359,19
10353,Jasper Mcclure,19.36,SWD,Kapfenberg,OOE,0.364376049,19
10354,Elliott Rasmussen,21.28,ITM,Hall in Tirol,T,0.278029961,21
10355,Emi Gill,21.22,SWD,Sankt Johann im Pongau,VBG,0.224508253,21
10356,Tara Deleon,23.95,ITM,Vienna,OOE,0.953182186,23
10357,Mason Padilla,20.5,ITM,Bischofshofen,STMK,0.496354277,20
10358,Martina Sosa,22.76,IMS,Eisenstadt,OOE,0.757257361,22
10359,Emi Roberts,19.15,IMS,Waidhofen an der Ybbs,KTN,0.150642631,19
10360,Lillian Patton,24.24,IMS,Imst,OOE,0.24353184,24
